av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.0371,0.0402,0.038,0.0407,0.0401,0.0395,0.0388,0.0409,0.0388,0.0394,0.03935,0.0371,0.0402,0.038,0.0407,0.0401,0.0395,0.0388,0.0409,0.0388,0.0394,0.03935
0.0426,0.0387,0.0414,0.04445,0.0409,0.0414,0.04205,0.04,0.0393,0.03905,0.040984999999999994,0.0852,0.0774,0.0828,0.0889,0.0818,0.0828,0.08410000000000001,0.08,0.0786,0.0781,0.08196999999999999
0.04306666666666667,0.0379,0.042133333333333335,0.045533333333333335,0.04053333333333333,0.0426,0.04243333333333334,0.0391,0.0387,0.0396,0.04116000000000001,0.12919999999999998,0.1137,0.1264,0.1366,0.1216,0.1278,0.12730000000000002,0.1173,0.11610000000000001,0.1188,0.12348
0.04395,0.03745,0.04275,0.04535,0.040875,0.043375,0.04185,0.040275,0.03855,0.0401,0.0414525,0.17579999999999998,0.1498,0.171,0.1814,0.1635,0.1735,0.16740000000000002,0.1611,0.1542,0.1604,0.16581
0.04388,0.03686,0.04278,0.04576,0.04128,0.04346,0.04136,0.03974,0.03908,0.04016,0.04143600000000001,0.21939999999999998,0.1843,0.2139,0.2288,0.2064,0.2173,0.2068,0.1987,0.19540000000000002,0.20079999999999998,0.20718
0.043616666666666665,0.03721666666666667,0.04306666666666667,0.04543333333333333,0.04108333333333333,0.043583333333333335,0.0417,0.041133333333333334,0.03896666666666666,0.040183333333333335,0.041598333333333334,0.2617,0.2233,0.2584,0.2726,0.2465,0.2615,0.25020000000000003,0.2468,0.2338,0.24109999999999998,0.24958999999999998
0.043385714285714284,0.03737142857142857,0.042942857142857144,0.045385714285714286,0.040914285714285716,0.043514285714285714,0.04151428571428571,0.04131428571428571,0.03895714285714286,0.04058571428571429,0.041588571428571426,0.30369999999999997,0.2616,0.30060000000000003,0.3177,0.2864,0.3046,0.2906,0.2892,0.2727,0.28409999999999996,0.29112
0.043225,0.03725,0.04355,0.045475,0.0406625,0.0432875,0.0411875,0.0408375,0.0391375,0.0407,0.04153125,0.3458,0.298,0.34840000000000004,0.3638,0.3253,0.3463,0.3295,0.3267,0.3131,0.32559999999999995,0.33225
0.04352222222222222,0.037566666666666665,0.04367777777777778,0.04526666666666666,0.040855555555555555,0.04376666666666667,0.0412,0.04136666666666667,0.03938888888888889,0.04075555555555556,0.041736666666666665,0.3917,0.33809999999999996,0.39310000000000006,0.4074,0.36769999999999997,0.39390000000000003,0.3708,0.37229999999999996,0.3545,0.36679999999999996,0.37563
0.04383,0.03763,0.04368,0.0456,0.041,0.04403,0.04087,0.04144,0.03954,0.04053,0.041815000000000005,0.4383,0.37629999999999997,0.4368000000000001,0.45599999999999996,0.41,0.4403,0.4087,0.4144,0.3954,0.40529999999999994,0.41814999999999997
