,Model,Average,Cum
0,df_random_sig3,0.0383651020408163,1.87989
1,df_baseline_sig3_eps1,0.0411781632653061,2.01773
2,df_baseline_sig3_eps2,0.040924081632653,2.00528
3,df_baseline_sig3_eps3,0.0405948979591836,1.9891500000000004
4,df_egreedy_sig3_eps1,0.0439377551020408,2.15295
5,df_egreedy_sig3_eps2,0.0433108163265306,2.12223
6,df_egreedy_sig3_eps3,0.04226,2.07074
7,df_edecay_sig3_eps1_d99,0.0423053061224489,2.07296
8,df_edecay_sig3_eps1_d95,0.042799387755102,2.09717
9,df_edecay_sig3_eps1_d90,0.0424589795918367,2.08049
10,df_edecay_sig3_eps2_d99,0.0424626530612244,2.08067
11,df_edecay_sig3_eps2_d95,0.0420281632653061,2.05938
12,df_edecay_sig3_eps2_d90,0.042744081632653,2.09446
13,df_edecay_sig3_eps3_d99,0.0420438775510204,2.0601500000000006
14,df_edecay_sig3_eps3_d95,0.04187,2.0516300000000003
15,df_edecay_sig3_eps3_d90,0.0437263265306122,2.14259
