av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.0446,0.0438,0.0463,0.0479,0.0447,0.0459,0.0468,0.0483,0.0439,0.0462,0.045840000000000006,0.0446,0.0438,0.0463,0.0479,0.0447,0.0459,0.0468,0.0483,0.0439,0.0462,0.045840000000000006
0.05305,0.0581,0.05645,0.06025,0.0471,0.0532,0.05865,0.06085,0.0566,0.0582,0.05624500000000001,0.1061,0.1162,0.1129,0.1205,0.0942,0.1064,0.11729999999999999,0.1217,0.1132,0.1164,0.11249000000000002
0.0583,0.061766666666666664,0.0611,0.06386666666666667,0.04733333333333333,0.0546,0.0617,0.06353333333333333,0.061733333333333335,0.0619,0.05958333333333332,0.1749,0.1853,0.18330000000000002,0.1916,0.14200000000000002,0.1638,0.1851,0.1906,0.18519999999999998,0.1857,0.17875
0.059975,0.0637,0.063425,0.064775,0.047875,0.0551,0.06385,0.0648,0.06285,0.0628,0.06091499999999998,0.2399,0.2548,0.25370000000000004,0.2591,0.1915,0.22039999999999998,0.25539999999999996,0.2592,0.25139999999999996,0.2512,0.24365999999999993
0.06116,0.06486,0.06378,0.06648,0.0485,0.05616,0.065,0.06606,0.06532,0.06386,0.06211800000000001,0.3058,0.32430000000000003,0.3189,0.33240000000000003,0.2425,0.2808,0.32499999999999996,0.3303,0.32659999999999995,0.3193,0.31059
0.06196666666666667,0.06505,0.06453333333333333,0.06745,0.048766666666666666,0.0567,0.06605,0.06685,0.067,0.0642,0.06285666666666667,0.3718,0.39030000000000004,0.3872,0.40470000000000006,0.29259999999999997,0.3402,0.3963,0.4011,0.4019999999999999,0.3852,0.37714
0.0629,0.06574285714285714,0.06505714285714286,0.06772857142857143,0.04895714285714286,0.057185714285714284,0.06658571428571429,0.06804285714285714,0.06775714285714286,0.06452857142857144,0.06344857142857144,0.4403,0.46020000000000005,0.45539999999999997,0.4741000000000001,0.34269999999999995,0.4003,0.46609999999999996,0.4763,0.47429999999999994,0.4517,0.44414
0.0635875,0.066175,0.0660625,0.0678625,0.0490875,0.0576,0.06645,0.067975,0.0683,0.0650875,0.06381875000000001,0.5087,0.5294000000000001,0.5285,0.5429,0.39269999999999994,0.4608,0.5316,0.5438000000000001,0.5464,0.5206999999999999,0.5105500000000001
0.06445555555555556,0.06662222222222222,0.06653333333333333,0.06824444444444444,0.04903333333333333,0.057855555555555556,0.06678888888888888,0.0681,0.06818888888888888,0.06558888888888889,0.06414111111111112,0.5801000000000001,0.5996000000000001,0.5988,0.6142000000000001,0.4412999999999999,0.5206999999999999,0.6011,0.6129,0.6137,0.5902999999999999,0.57727
0.06474,0.06633,0.06646,0.06812,0.04938,0.05789,0.06712,0.06789,0.06837,0.06636,0.064266,0.6474000000000001,0.6633000000000001,0.6646,0.6812,0.4937999999999999,0.5789,0.6712,0.6789000000000001,0.6837,0.6636,0.64266
0.0648,0.06678181818181818,0.06692727272727272,0.06826363636363636,0.04920909090909091,0.058054545454545456,0.0674090909090909,0.06787272727272728,0.06814545454545455,0.06692727272727272,0.06443909090909092,0.7128000000000001,0.7346000000000001,0.7362,0.7509,0.5412999999999999,0.6386,0.7415,0.7466,0.7495999999999999,0.7362,0.7088300000000001
