av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.0443,0.0467,0.0473,0.0446,0.0469,0.0489,0.0478,0.0448,0.0477,0.0459,0.046490000000000004,0.0443,0.0467,0.0473,0.0446,0.0469,0.0489,0.0478,0.0448,0.0477,0.0459,0.046490000000000004
0.05695,0.05195,0.0548,0.05445,0.0547,0.05485,0.0557,0.05275,0.0558,0.05535,0.054730000000000015,0.1139,0.10389999999999999,0.1096,0.1089,0.1094,0.10969999999999999,0.1114,0.1055,0.1116,0.11069999999999999,0.10946000000000003
0.059666666666666666,0.051533333333333334,0.054766666666666665,0.0567,0.058333333333333334,0.05846666666666667,0.05893333333333333,0.0539,0.0579,0.05846666666666667,0.05686666666666666,0.179,0.1546,0.1643,0.1701,0.175,0.1754,0.1768,0.1617,0.17370000000000002,0.1754,0.1706
0.058925,0.052875,0.057325,0.057625,0.0601,0.0568,0.0574,0.05605,0.057075,0.060025,0.057420000000000006,0.2357,0.2115,0.2293,0.2305,0.2404,0.2272,0.22960000000000003,0.2242,0.22830000000000003,0.24009999999999998,0.22968000000000002
0.0608,0.05176,0.05682,0.05906,0.05908,0.05784,0.05886,0.05764,0.05796,0.06074,0.05805600000000001,0.304,0.2588,0.2841,0.2953,0.2954,0.2892,0.2943,0.2882,0.28980000000000006,0.30369999999999997,0.29028
0.0612,0.050666666666666665,0.05826666666666667,0.059783333333333334,0.06016666666666667,0.05873333333333333,0.05985,0.05656666666666667,0.0592,0.061483333333333334,0.05859166666666667,0.36719999999999997,0.304,0.3496,0.3587,0.361,0.35240000000000005,0.3591,0.33940000000000003,0.35520000000000007,0.36889999999999995,0.35155
0.060642857142857144,0.05215714285714286,0.05922857142857143,0.05991428571428571,0.06067142857142857,0.05961428571428572,0.060085714285714284,0.0575,0.05851428571428571,0.062,0.05903285714285715,0.4245,0.3651,0.4146,0.4194,0.42469999999999997,0.41730000000000006,0.4206,0.4025,0.4096000000000001,0.43399999999999994,0.41323
0.060525,0.05405,0.059075,0.0609375,0.0611875,0.0602,0.0607375,0.0583625,0.059,0.0624125,0.05964874999999999,0.48419999999999996,0.4324,0.4726,0.4875,0.48949999999999994,0.48160000000000003,0.4859,0.46690000000000004,0.4720000000000001,0.49929999999999997,0.47719000000000006
0.0594,0.055377777777777776,0.05821111111111111,0.0606,0.061644444444444446,0.0609,0.06116666666666667,0.05881111111111111,0.0587,0.06257777777777777,0.05973888888888888,0.5346,0.4984,0.5239,0.5454,0.5548,0.5481,0.5505,0.5293,0.5283000000000001,0.5631999999999999,0.53765
0.05993,0.05619,0.05881,0.05957,0.062,0.0603,0.06179,0.0595,0.05885,0.0608,0.059773999999999994,0.5992999999999999,0.5619000000000001,0.5881000000000001,0.5957,0.62,0.603,0.6179,0.595,0.5885000000000001,0.6079999999999999,0.5977399999999999
0.06037272727272727,0.05688181818181818,0.05929090909090909,0.059445454545454544,0.061445454545454546,0.059981818181818185,0.06201818181818182,0.05910909090909091,0.059,0.059945454545454545,0.059749090909090904,0.6640999999999999,0.6257,0.6522000000000001,0.6539,0.6759,0.6597999999999999,0.6822,0.6502,0.6490000000000001,0.6593999999999999,0.65724
0.06063333333333333,0.05720833333333333,0.05938333333333334,0.05955833333333333,0.06183333333333333,0.06046666666666667,0.062425,0.059491666666666665,0.059583333333333335,0.05975,0.06003333333333333,0.7275999999999999,0.6865,0.7126000000000001,0.7147,0.742,0.7255999999999999,0.7491,0.7139,0.7150000000000001,0.7169999999999999,0.7203999999999999
