av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.0487,0.0482,0.0485,0.0396,0.0478,0.044,0.0471,0.0484,0.0435,0.0476,0.04633999999999999,0.0487,0.0482,0.0485,0.0396,0.0478,0.044,0.0471,0.0484,0.0435,0.0476,0.04633999999999999
0.0598,0.05715,0.05775,0.05445,0.0576,0.05515,0.05585,0.05875,0.0555,0.05585,0.056784999999999995,0.11960000000000001,0.11430000000000001,0.1155,0.1089,0.1152,0.1103,0.11170000000000001,0.1175,0.111,0.11170000000000001,0.11356999999999999
0.06403333333333333,0.06066666666666667,0.0597,0.057966666666666666,0.06133333333333333,0.060366666666666666,0.058,0.06196666666666667,0.05906666666666667,0.060066666666666664,0.06031666666666667,0.1921,0.182,0.1791,0.1739,0.184,0.18109999999999998,0.17400000000000002,0.1859,0.1772,0.18020000000000003,0.18095
0.064125,0.062975,0.061375,0.059825,0.061,0.0619,0.060075,0.0636,0.061125,0.06245,0.061845000000000004,0.2565,0.2519,0.2455,0.2393,0.244,0.2476,0.2403,0.2544,0.2445,0.24980000000000002,0.24738000000000002
0.06484,0.06368,0.06332,0.06084,0.06024,0.06358,0.06122,0.06316,0.06262,0.0609,0.062439999999999996,0.3242,0.3184,0.3166,0.3042,0.3012,0.31789999999999996,0.30610000000000004,0.3158,0.3131,0.3045,0.3122
0.06521666666666667,0.06423333333333334,0.06425,0.06216666666666667,0.059616666666666665,0.06456666666666666,0.061566666666666665,0.06351666666666667,0.0633,0.061533333333333336,0.06299666666666667,0.3913,0.3854,0.3855,0.373,0.3577,0.38739999999999997,0.36940000000000006,0.3811,0.37979999999999997,0.3692,0.37798
0.06567142857142858,0.06458571428571429,0.06501428571428572,0.06294285714285715,0.06077142857142857,0.06501428571428572,0.06254285714285714,0.0641,0.06435714285714286,0.06055714285714286,0.0635557142857143,0.4597,0.4521,0.4551,0.4406,0.4254,0.45509999999999995,0.4378000000000001,0.4487,0.45049999999999996,0.42389999999999994,0.44489
0.065925,0.064675,0.0653875,0.063025,0.061975,0.064975,0.0633,0.06405,0.064725,0.061225,0.06392625,0.5274,0.5174,0.5231,0.5042,0.4958,0.5197999999999999,0.5064000000000001,0.5124,0.5177999999999999,0.48979999999999996,0.51141
0.06571111111111111,0.06524444444444444,0.06563333333333334,0.06327777777777778,0.06264444444444445,0.06563333333333334,0.06314444444444445,0.06498888888888889,0.06501111111111112,0.0615,0.06427888888888889,0.5913999999999999,0.5871999999999999,0.5907,0.5695,0.5638000000000001,0.5906999999999999,0.5683,0.5849,0.5851,0.5535,0.57851
0.0657,0.06566,0.0657,0.06349,0.06303,0.06599,0.06327,0.06521,0.06547,0.0621,0.06456200000000001,0.6569999999999999,0.6566,0.657,0.6349,0.6303000000000001,0.6598999999999999,0.6327,0.6521,0.6547,0.621,0.6456200000000001
