,Model,Average,Cum
0,df_random_sig2,0.0462608,2.31304
1,df_baseline_sig2_eps1,0.0611996,3.05998
2,df_baseline_sig2_eps2,0.061292,3.0646
3,df_baseline_sig2_eps3,0.0596402,2.9820100000000007
4,df_egreedy_sig2_eps1,0.0667044,3.33522
5,df_egreedy_sig2_eps2,0.0637351999999999,3.18676
6,df_egreedy_sig2_eps3,0.0610751999999999,3.05376
7,df_edecay_sig2_eps1_d99,0.067873,3.39365
8,df_edecay_sig2_eps1_d95,0.0662624,3.31312
9,df_edecay_sig2_eps1_d90,0.06749,3.3745000000000003
10,df_edecay_sig2_eps2_d99,0.0683028,3.41514
11,df_edecay_sig2_eps2_d95,0.0684032,3.42016
12,df_edecay_sig2_eps2_d90,0.0680911999999999,3.40456
13,df_edecay_sig2_eps3_d99,0.0667097999999999,3.33549
14,df_edecay_sig2_eps3_d95,0.0671358,3.3567899999999997
15,df_edecay_sig2_eps3_d90,0.0682151999999999,3.41076
