av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.0592,0.0579,0.0578,0.0605,0.0593,0.06,0.0599,0.0599,0.0597,0.0612,0.05954,0.0592,0.0579,0.0578,0.0605,0.0593,0.06,0.0599,0.0599,0.0597,0.0612,0.05954
0.0603,0.0633,0.0619,0.0619,0.0599,0.0627,0.06215,0.05945,0.0628,0.06505,0.06194500000000001,0.12060000000000001,0.1266,0.1238,0.1238,0.11979999999999999,0.1254,0.1243,0.1189,0.1256,0.1301,0.12389000000000001
0.05843333333333333,0.06276666666666667,0.062,0.06213333333333333,0.061566666666666665,0.06363333333333333,0.0616,0.0603,0.06283333333333334,0.06303333333333333,0.06183000000000001,0.1753,0.1883,0.186,0.1864,0.18469999999999998,0.19090000000000001,0.1848,0.1809,0.1885,0.1891,0.18549000000000004
0.059775,0.06215,0.062,0.064425,0.061375,0.063375,0.062475,0.0612,0.063025,0.061325,0.0621125,0.2391,0.2486,0.248,0.25770000000000004,0.24549999999999997,0.2535,0.2499,0.24480000000000002,0.2521,0.2453,0.24845
0.06096,0.06298,0.06204,0.06438,0.0613,0.06352,0.06356,0.06202,0.06292,0.06184,0.062552,0.3048,0.31489999999999996,0.3102,0.3219,0.3065,0.3176,0.3178,0.31010000000000004,0.3146,0.3092,0.31276000000000004
0.06095,0.06385,0.06225,0.06501666666666667,0.06136666666666667,0.06336666666666667,0.0642,0.0623,0.06256666666666667,0.06266666666666666,0.06285333333333333,0.3657,0.38309999999999994,0.37349999999999994,0.3901,0.36819999999999997,0.3802,0.38520000000000004,0.3738,0.3754,0.376,0.37712
0.06118571428571429,0.06427142857142858,0.06261428571428572,0.06524285714285714,0.062014285714285716,0.06378571428571428,0.06392857142857143,0.06198571428571428,0.0627,0.06258571428571429,0.06303142857142857,0.4283,0.44989999999999997,0.4382999999999999,0.4567,0.4341,0.4465,0.44750000000000006,0.4339,0.4389,0.4381,0.44122000000000006
0.0607,0.0641375,0.0624875,0.0653125,0.062775,0.0637625,0.0642375,0.062025,0.0630125,0.062725,0.0631175,0.48560000000000003,0.5131,0.4998999999999999,0.5225,0.5022,0.5101,0.5139,0.49620000000000003,0.5041,0.5018,0.50494
0.06214444444444445,0.06395555555555556,0.06345555555555556,0.06552222222222222,0.06225555555555556,0.06358888888888889,0.06375555555555555,0.0626,0.06338888888888888,0.06334444444444444,0.0634011111111111,0.5593,0.5756,0.5710999999999999,0.5897,0.5603,0.5723,0.5738,0.5634,0.5705,0.5701,0.5706100000000001
0.06198,0.06378,0.06366,0.0655,0.06294,0.06337,0.06389,0.06287,0.06317,0.06364,0.06348000000000001,0.6198,0.6378,0.6365999999999999,0.655,0.6294,0.6337,0.6389,0.6287,0.6317,0.6364000000000001,0.6348
0.06218181818181818,0.0635090909090909,0.06387272727272728,0.06504545454545455,0.06295454545454546,0.06357272727272727,0.06378181818181818,0.06275454545454545,0.06293636363636364,0.0637,0.0634309090909091,0.684,0.6986,0.7025999999999999,0.7155,0.6925,0.6993,0.7016,0.6903,0.6923,0.7007000000000001,0.69774
0.0623,0.063625,0.064075,0.06484166666666667,0.06295,0.06375,0.063725,0.06250833333333333,0.062675,0.063675,0.06341250000000001,0.7476,0.7635,0.7688999999999999,0.7781,0.7554,0.765,0.7647,0.7501,0.7521,0.7641000000000001,0.76095
0.06271538461538462,0.06353076923076922,0.06383846153846154,0.06507692307692307,0.0625923076923077,0.06313076923076923,0.06369230769230769,0.062323076923076925,0.06281538461538462,0.06400769230769231,0.0633723076923077,0.8153,0.8259,0.8298999999999999,0.846,0.8137,0.8207,0.8280000000000001,0.8102,0.8166,0.8321000000000001,0.82384
0.06267857142857143,0.06336428571428572,0.0639,0.06505714285714286,0.06269285714285715,0.06292857142857143,0.06357857142857143,0.062335714285714286,0.06292857142857143,0.064,0.06334642857142858,0.8775000000000001,0.8871,0.8945999999999998,0.9107999999999999,0.8776999999999999,0.881,0.8901000000000001,0.8727,0.881,0.896,0.8868500000000001
0.06269333333333334,0.06317333333333333,0.06394,0.06516,0.06293333333333333,0.06300666666666667,0.06378666666666667,0.062086666666666665,0.06288666666666666,0.06406,0.06337266666666666,0.9404,0.9476,0.9590999999999998,0.9773999999999999,0.944,0.9451,0.9568000000000001,0.9313,0.9433,0.9609,0.95059
