av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.0578,0.063,0.0562,0.0577,0.0536,0.0609,0.0565,0.056,0.0647,0.0582,0.05846,0.0578,0.063,0.0562,0.0577,0.0536,0.0609,0.0565,0.056,0.0647,0.0582,0.05846
0.0586,0.0635,0.05745,0.06035,0.05595,0.0645,0.05935,0.0609,0.0682,0.05825,0.06070500000000001,0.1172,0.127,0.1149,0.1207,0.1119,0.129,0.1187,0.12179999999999999,0.1364,0.11649999999999999,0.12141000000000002
0.0589,0.06423333333333334,0.058133333333333335,0.062066666666666666,0.0579,0.06383333333333334,0.060833333333333336,0.06263333333333333,0.0693,0.059133333333333336,0.06169666666666668,0.1767,0.19269999999999998,0.1744,0.1862,0.1737,0.1915,0.1825,0.1879,0.20789999999999997,0.1774,0.18508999999999998
0.05925,0.06575,0.058525,0.063525,0.057425,0.064675,0.061925,0.0622,0.06925,0.0591,0.062162499999999996,0.237,0.263,0.2341,0.2541,0.2297,0.2587,0.24769999999999998,0.24880000000000002,0.27699999999999997,0.2364,0.24865000000000004
0.05938,0.06582,0.0584,0.06384,0.05792,0.06496,0.06268,0.06334,0.06848,0.05908,0.06239,0.2969,0.3291,0.292,0.3192,0.28959999999999997,0.3248,0.31339999999999996,0.31670000000000004,0.3424,0.2954,0.31194999999999995
0.059566666666666664,0.06583333333333333,0.058866666666666664,0.06345,0.05906666666666667,0.06473333333333334,0.06281666666666667,0.06338333333333333,0.06801666666666667,0.059116666666666665,0.062485,0.3574,0.395,0.35319999999999996,0.3807,0.35439999999999994,0.38839999999999997,0.37689999999999996,0.3803,0.40809999999999996,0.3547,0.37491
0.05964285714285714,0.06554285714285714,0.059314285714285715,0.06378571428571428,0.05977142857142857,0.06435714285714286,0.06257142857142857,0.06358571428571429,0.06737142857142857,0.05892857142857143,0.06248714285714285,0.4175,0.4588,0.41519999999999996,0.4465,0.41839999999999994,0.45049999999999996,0.43799999999999994,0.44510000000000005,0.47159999999999996,0.41250000000000003,0.43741
0.059175,0.0651625,0.0592875,0.0644625,0.0593375,0.0647125,0.0633875,0.0635125,0.0678375,0.0581125,0.062498750000000006,0.4734,0.5213,0.47429999999999994,0.5157,0.47469999999999996,0.5176999999999999,0.5070999999999999,0.5081,0.5427,0.46490000000000004,0.49999000000000005
0.058944444444444445,0.06481111111111111,0.059644444444444444,0.0644,0.05931111111111111,0.06468888888888889,0.06292222222222223,0.06348888888888889,0.0679,0.057833333333333334,0.06239444444444444,0.5305,0.5832999999999999,0.5367999999999999,0.5796,0.5337999999999999,0.5821999999999999,0.5662999999999999,0.5714,0.6111,0.5205000000000001,0.5615499999999999
0.05908,0.06513,0.05978,0.06435,0.05905,0.06517,0.06285,0.06416,0.06795,0.05815,0.06256700000000001,0.5908,0.6513,0.5977999999999999,0.6435,0.5904999999999999,0.6517,0.6285,0.6416000000000001,0.6795,0.5815000000000001,0.6256700000000001
0.05911818181818182,0.06492727272727272,0.059745454545454546,0.06504545454545455,0.05891818181818182,0.06527272727272727,0.0628909090909091,0.06408181818181818,0.0681,0.05789090909090909,0.06259909090909091,0.6503,0.7142,0.6571999999999999,0.7154999999999999,0.6480999999999999,0.718,0.6918,0.7049000000000001,0.7491,0.6368000000000001,0.68859
0.05921666666666667,0.06525,0.05971666666666667,0.06505833333333333,0.05881666666666667,0.06513333333333333,0.06288333333333333,0.06384166666666667,0.06815833333333333,0.057916666666666665,0.06259916666666666,0.7106,0.7829999999999999,0.7165999999999999,0.7807,0.7057999999999999,0.7816,0.7545999999999999,0.7661000000000001,0.8179,0.6950000000000002,0.7511899999999999
0.05923076923076923,0.0652,0.059607692307692306,0.06519230769230769,0.05849230769230769,0.06504615384615385,0.0629,0.06393846153846154,0.06767692307692308,0.05803846153846154,0.06253230769230769,0.77,0.8475999999999999,0.7748999999999999,0.8474999999999999,0.7603999999999999,0.8455999999999999,0.8177,0.8312000000000002,0.8797999999999999,0.7545000000000002,0.8129200000000001
0.05914285714285714,0.06559285714285715,0.0595,0.06514285714285714,0.05855,0.06511428571428571,0.06291428571428571,0.06398571428571428,0.06757857142857143,0.05814285714285714,0.06256642857142856,0.8280000000000001,0.9182999999999999,0.833,0.9119999999999999,0.8196999999999999,0.9116,0.8808,0.8958000000000002,0.9460999999999999,0.8140000000000002,0.87593
0.05910666666666667,0.06543333333333333,0.05944,0.06513333333333333,0.05864,0.06525333333333333,0.06305333333333334,0.06427333333333334,0.06752666666666667,0.0584,0.06262599999999999,0.8866,0.9814999999999999,0.8916,0.9769999999999999,0.8795999999999998,0.9788,0.9458,0.9641000000000002,1.0129,0.8760000000000001,0.9393899999999998
0.0591875,0.06520625,0.05953125,0.0651625,0.05854375,0.0651,0.06306875,0.064475,0.06754375,0.0584,0.06262187500000001,0.9470000000000001,1.0433,0.9524999999999999,1.0426,0.9366999999999999,1.0416,1.0090999999999999,1.0316,1.0807,0.9344000000000001,1.0019500000000001
0.05927647058823529,0.0651,0.05954705882352941,0.0651764705882353,0.05868235294117647,0.0651470588235294,0.06319411764705882,0.06458235294117647,0.06748235294117647,0.058488235294117646,0.06266764705882352,1.0077,1.1066999999999998,1.0123,1.1079999999999999,0.9975999999999998,1.1075000000000002,1.0742999999999998,1.0979,1.1472,0.9943000000000001,1.06535
0.05918888888888889,0.06505555555555556,0.05953888888888889,0.06525,0.0582,0.06506111111111111,0.06315,0.06452222222222222,0.0673,0.05843333333333333,0.06257,1.0654000000000001,1.1709999999999998,1.0716999999999999,1.1744999999999999,1.0475999999999999,1.1711000000000003,1.1366999999999998,1.1614,1.2114,1.0518,1.1262599999999998
0.05912631578947369,0.06490526315789474,0.059547368421052634,0.06528421052631579,0.058126315789473686,0.06508421052631579,0.0630157894736842,0.06455263157894738,0.06727894736842105,0.058521052631578946,0.06254421052631579,1.1234000000000002,1.2331999999999999,1.1314,1.2404,1.1043999999999998,1.2366000000000001,1.1972999999999998,1.2265,1.2783,1.1119,1.18834
0.058905,0.06485,0.059675,0.06538,0.058175,0.065005,0.06316,0.06436,0.06722,0.058345,0.0625075,1.1781000000000001,1.297,1.1935,1.3075999999999999,1.1634999999999998,1.3001,1.2631999999999999,1.2872,1.3444,1.1669,1.25015
0.05876666666666667,0.06473333333333334,0.05963809523809524,0.06554285714285714,0.05790952380952381,0.06486190476190476,0.0631952380952381,0.06444761904761905,0.06723809523809524,0.05841904761904762,0.0624752380952381,1.2341000000000002,1.3594,1.2524,1.3763999999999998,1.2160999999999997,1.3621,1.3271,1.3534,1.412,1.2268000000000001,1.3119800000000001
