av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.0579,0.0586,0.06,0.0565,0.0619,0.0596,0.0597,0.0556,0.0575,0.06,0.05872999999999999,0.0579,0.0586,0.06,0.0565,0.0619,0.0596,0.0597,0.0556,0.0575,0.06,0.05872999999999999
0.0619,0.0626,0.06175,0.0577,0.0582,0.05905,0.0624,0.0579,0.06105,0.0629,0.060545,0.1238,0.1252,0.1235,0.1154,0.1164,0.11810000000000001,0.12480000000000001,0.11579999999999999,0.12210000000000001,0.1258,0.12109
0.06023333333333333,0.061066666666666665,0.06133333333333333,0.058666666666666666,0.06143333333333333,0.05856666666666667,0.06133333333333333,0.05946666666666667,0.061733333333333335,0.0636,0.06074333333333333,0.1807,0.1832,0.184,0.176,0.18430000000000002,0.17570000000000002,0.184,0.1784,0.18520000000000003,0.1908,0.18223
0.0597,0.059775,0.0609,0.05925,0.060775,0.060275,0.06295,0.0593,0.0619,0.061175,0.0606,0.2388,0.2391,0.24359999999999998,0.237,0.2431,0.24110000000000004,0.2518,0.2372,0.24760000000000004,0.2447,0.24240000000000003
0.05862,0.06126,0.06002,0.05956,0.0612,0.06084,0.06424,0.06026,0.062,0.06214,0.061014,0.2931,0.3063,0.3001,0.2978,0.306,0.3042,0.32120000000000004,0.3013,0.31000000000000005,0.3107,0.30507
0.059616666666666665,0.06225,0.060316666666666664,0.06023333333333333,0.06171666666666667,0.0608,0.06446666666666667,0.06088333333333333,0.061816666666666666,0.06295,0.06150500000000001,0.3577,0.3735,0.3619,0.3614,0.37029999999999996,0.3648,0.38680000000000003,0.3653,0.37090000000000006,0.3777,0.3690300000000001
0.05967142857142857,0.0632,0.06015714285714286,0.06062857142857143,0.06252857142857143,0.06097142857142857,0.06355714285714285,0.061785714285714284,0.06175714285714286,0.06212857142857143,0.06163857142857143,0.4177,0.4424,0.42110000000000003,0.4244,0.4377,0.4268,0.4449,0.4325,0.4323000000000001,0.43489999999999995,0.43147
0.0598,0.0635875,0.061,0.060075,0.062,0.0605,0.0642625,0.061175,0.0613125,0.062,0.06157125000000001,0.4784,0.5087,0.48800000000000004,0.4806,0.496,0.484,0.5141,0.4894,0.49050000000000005,0.49599999999999994,0.49257
0.0606,0.0636111111111111,0.061877777777777775,0.06071111111111111,0.06181111111111111,0.06121111111111111,0.06475555555555555,0.06196666666666667,0.06146666666666667,0.06241111111111111,0.06204222222222222,0.5454,0.5725,0.5569000000000001,0.5464,0.5563,0.5509,0.5828,0.5577,0.5532,0.5617,0.5583800000000001
0.06053,0.06408,0.06139,0.05989,0.06163,0.06111,0.06462,0.062,0.0603,0.06202,0.06175699999999999,0.6053,0.6408,0.6139000000000001,0.5989,0.6163000000000001,0.6111,0.6462,0.62,0.603,0.6202,0.61757
0.0602,0.06385454545454546,0.061863636363636364,0.06008181818181818,0.06126363636363636,0.061881818181818184,0.06376363636363637,0.06230909090909091,0.06075454545454546,0.06221818181818182,0.061819090909090914,0.6621999999999999,0.7024,0.6805000000000001,0.6609,0.6739,0.6807,0.7014,0.6854,0.6683,0.6844,0.68001
0.060566666666666664,0.06408333333333334,0.061566666666666665,0.059775,0.06121666666666667,0.0619,0.06336666666666667,0.06183333333333333,0.06100833333333333,0.062158333333333336,0.0617475,0.7267999999999999,0.769,0.7388000000000001,0.7173,0.7346,0.7428,0.7604,0.742,0.7321,0.7459,0.74097
0.0612,0.06383846153846154,0.06196923076923077,0.06013076923076923,0.06098461538461539,0.0617,0.06324615384615384,0.06213076923076923,0.06137692307692308,0.06266923076923077,0.06192461538461539,0.7955999999999999,0.8299,0.8056000000000001,0.7817000000000001,0.7928000000000001,0.8021,0.8221999999999999,0.8077,0.7978999999999999,0.8147,0.8050199999999998
