av_0,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,av_9,total runs average rewards,cum_0,cum_1,cum_2,cum_3,cum_4,cum_5,cum_6,cum_7,cum_8,cum_9,total runs cum rewards
0.062,0.0608,0.0597,0.0551,0.0583,0.0561,0.0548,0.0597,0.0561,0.0592,0.05818000000000001,0.062,0.0608,0.0597,0.0551,0.0583,0.0561,0.0548,0.0597,0.0561,0.0592,0.05818000000000001
0.06215,0.0615,0.06125,0.05965,0.06125,0.06175,0.0595,0.06215,0.06285,0.0623,0.061435000000000003,0.1243,0.123,0.1225,0.11929999999999999,0.1225,0.1235,0.119,0.12430000000000001,0.12569999999999998,0.1246,0.12287
0.062,0.0607,0.06136666666666667,0.060533333333333335,0.06316666666666666,0.06186666666666667,0.0616,0.0635,0.06363333333333333,0.0649,0.06232666666666666,0.186,0.18209999999999998,0.18409999999999999,0.18159999999999998,0.1895,0.1856,0.1848,0.1905,0.19089999999999996,0.19469999999999998,0.18698
0.0622,0.060925,0.06305,0.06105,0.065425,0.0633,0.063,0.064375,0.06575,0.065675,0.063475,0.2488,0.24369999999999997,0.2522,0.24419999999999997,0.2617,0.2532,0.252,0.2575,0.26299999999999996,0.2627,0.2539
0.06242,0.06016,0.06376,0.06158,0.06604,0.0634,0.06396,0.0651,0.06654,0.06636,0.06393200000000002,0.3121,0.30079999999999996,0.3188,0.30789999999999995,0.3302,0.31699999999999995,0.3198,0.3255,0.33269999999999994,0.3318,0.31965999999999994
0.06276666666666667,0.06026666666666667,0.06445,0.06258333333333334,0.06643333333333333,0.06351666666666667,0.06476666666666667,0.06513333333333333,0.06665,0.06656666666666666,0.06431333333333333,0.3766,0.3616,0.3867,0.37549999999999994,0.3986,0.38109999999999994,0.38859999999999995,0.39080000000000004,0.3998999999999999,0.3994,0.38587999999999995
0.06288571428571428,0.060142857142857144,0.0643,0.06304285714285714,0.06624285714285714,0.06367142857142857,0.06451428571428572,0.06547142857142857,0.06697142857142857,0.0668,0.06440428571428572,0.4402,0.421,0.4501,0.4412999999999999,0.4637,0.44569999999999993,0.45159999999999995,0.45830000000000004,0.46879999999999994,0.46759999999999996,0.45082999999999995
0.06305,0.060075,0.0647,0.0629875,0.0661375,0.063825,0.065525,0.0655625,0.06755,0.06665,0.06460625,0.5044,0.48059999999999997,0.5176000000000001,0.5038999999999999,0.5291,0.5105999999999999,0.5242,0.5245000000000001,0.5404,0.5332,0.51685
0.06312222222222222,0.06016666666666667,0.0645,0.06314444444444445,0.06637777777777777,0.06402222222222222,0.06591111111111111,0.06574444444444444,0.06728888888888888,0.06703333333333333,0.06473111111111111,0.5680999999999999,0.5415,0.5805,0.5682999999999999,0.5974,0.5761999999999999,0.5932,0.5917000000000001,0.6056,0.6033,0.58258
0.06284,0.06031,0.06432,0.06308,0.06581,0.06426,0.06626,0.06618,0.06728,0.06712,0.064746,0.6284,0.6031,0.6432,0.6307999999999999,0.6581,0.6426,0.6626,0.6618000000000002,0.6728000000000001,0.6711999999999999,0.6474599999999999
0.06313636363636364,0.0603,0.06440909090909092,0.0634,0.06595454545454546,0.0642,0.06636363636363636,0.06601818181818182,0.06725454545454546,0.06732727272727272,0.06483636363636364,0.6945,0.6633,0.7085,0.6973999999999999,0.7255,0.7061999999999999,0.73,0.7262000000000002,0.7398,0.7405999999999999,0.7132
0.063375,0.059941666666666664,0.06436666666666667,0.063575,0.06628333333333333,0.063975,0.06645,0.06605833333333333,0.06721666666666666,0.06718333333333333,0.0648425,0.7605,0.7193,0.7724,0.7628999999999999,0.7954,0.7676999999999999,0.7974,0.7927000000000002,0.8066,0.8061999999999999,0.77811
0.0634923076923077,0.0599,0.06463846153846153,0.06323076923076923,0.06594615384615385,0.06429230769230769,0.06713076923076923,0.06596923076923077,0.0672,0.06728461538461539,0.06490846153846154,0.8253999999999999,0.7787000000000001,0.8402999999999999,0.822,0.8573,0.8357999999999999,0.8727,0.8576000000000001,0.8735999999999999,0.8746999999999999,0.8438100000000001
0.06342142857142857,0.05967142857142857,0.06497857142857143,0.0635,0.06587857142857143,0.06435714285714286,0.06720714285714285,0.06635714285714285,0.06714285714285714,0.06723571428571429,0.064975,0.8878999999999999,0.8354,0.9097,0.889,0.9222999999999999,0.9009999999999999,0.9409000000000001,0.9290000000000002,0.94,0.9412999999999999,0.9096500000000001
0.06346666666666667,0.05975333333333333,0.06489333333333333,0.06356,0.06585333333333333,0.06448,0.06703333333333333,0.06666666666666667,0.06732,0.06719333333333333,0.065022,0.952,0.8963,0.9733999999999999,0.9534,0.9877999999999999,0.9672,1.0055,1.0000000000000002,1.0098,1.0079,0.9753299999999999
0.06369375,0.0598125,0.06491875,0.06359375,0.0657875,0.0643125,0.067075,0.0668875,0.06738125,0.0671125,0.0650575,1.0191,0.957,1.0387,1.0175,1.0526,1.029,1.0732000000000002,1.0702000000000003,1.0781,1.0738,1.04092
0.06389411764705882,0.0597,0.06489411764705882,0.06364117647058823,0.066,0.06441764705882352,0.06724117647058823,0.06711176470588236,0.06741176470588235,0.0671764705882353,0.06514882352941177,1.0861999999999998,1.0149,1.1032,1.0819,1.1219999999999999,1.0951,1.1431000000000002,1.1409000000000002,1.1460000000000001,1.1420000000000001,1.1075300000000001
0.06409444444444444,0.05975,0.06502222222222222,0.06371666666666667,0.06595555555555556,0.06450555555555555,0.06695555555555556,0.06724444444444444,0.06735,0.06733888888888889,0.06519333333333333,1.1536999999999997,1.0755,1.1703999999999999,1.1469,1.1871999999999998,1.1611,1.2052000000000003,1.2104000000000004,1.2123000000000002,1.2121000000000002,1.17348
0.06417894736842106,0.05983157894736842,0.06500526315789473,0.06393684210526315,0.06587894736842105,0.06427894736842105,0.06717894736842105,0.0672578947368421,0.06743684210526316,0.06722631578947369,0.06522105263157894,1.2193999999999998,1.1367999999999998,1.2350999999999999,1.2148,1.2516999999999998,1.2213,1.2764000000000002,1.2779000000000003,1.2813,1.2773,1.2392
0.064015,0.05992,0.065065,0.063975,0.065935,0.064255,0.067105,0.06725,0.06766,0.06727,0.065245,1.2802999999999998,1.1984,1.3013,1.2795,1.3186999999999998,1.2851000000000001,1.3421000000000003,1.3450000000000002,1.3532000000000002,1.3454000000000002,1.3049000000000002
